Date,Open,High,Low,Close,Adj Close,Volume
2021-11-09,4810.071289,4837.589355,4718.039063,4735.068848,4735.068848,20834172627
2021-11-10,4733.362793,4859.502930,4485.093262,4636.174316,4636.174316,22748160545
2021-11-11,4635.453613,4778.059082,4580.990234,4730.384277,4730.384277,17933201129
2021-11-12,4724.306641,4808.738770,4510.920410,4667.115234,4667.115234,18316060208
2021-11-13,4666.719238,4702.115234,4582.180664,4651.460449,4651.460449,14457436261
2021-11-14,4648.632813,4689.842773,4516.935547,4626.358887,4626.358887,12172962219
2021-11-15,4627.090820,4764.636230,4546.599121,4557.503906,4557.503906,16275851299
2021-11-16,4570.478027,4891.704590,4144.334961,4216.365234,4216.365234,27417502801
2021-11-17,4213.910645,4300.306641,4107.125977,4287.593750,4287.593750,22183461850
2021-11-18,4287.802246,4343.557129,3959.227783,4000.650879,4000.650879,21383250893
2021-11-19,3995.729492,4311.713867,3982.917480,4298.306641,4298.306641,20626269711
2021-11-20,4298.350586,4434.388184,4209.242676,4409.931152,4409.931152,15448261277
2021-11-21,4412.195313,4422.491699,4255.455078,4269.732910,4269.732910,14094831413
2021-11-22,4266.509277,4302.022949,4033.572266,4088.457764,4088.457764,19752218877
2021-11-23,4089.680420,4385.483398,4069.766602,4340.763672,4340.763672,22133497059
2021-11-24,4340.036133,4376.875977,4176.183594,4239.981445,4239.981445,21838037128
2021-11-25,4271.394531,4550.518066,4249.774414,4274.743164,4274.743164,18705358318
2021-11-26,4522.208984,4550.842285,3933.506592,4030.908936,4030.908936,26281795488
2021-11-27,4042.999023,4187.684082,4033.513916,4096.912109,4096.912109,16515693874
2021-11-28,4101.648926,4297.916504,3989.969971,4294.453613,4294.453613,15953126340
2021-11-29,4296.946777,4460.848633,4284.504883,4445.104980,4445.104980,19086475837
2021-11-30,4447.768066,4753.266113,4358.074219,4631.479004,4631.479004,28626354111
2021-12-01,4623.679688,4780.732422,4530.272461,4586.990234,4586.990234,27634826695
2021-12-02,4586.333008,4628.919922,4441.507813,4511.302246,4511.302246,21502671027
2021-12-03,4514.355957,4647.289063,4100.145508,4220.706055,4220.706055,25879591528
2021-12-04,4227.762207,4242.725586,3525.494141,4119.587402,4119.587402,38478999182
2021-12-05,4119.628906,4246.923340,4040.217529,4198.322754,4198.322754,25533062707
2021-12-06,4199.000000,4375.520508,3930.806641,4358.737305,4358.737305,28229518513
2021-12-07,4358.586914,4428.589355,4264.323730,4315.061523,4315.061523,22366213354
2021-12-08,4311.674316,4453.112305,4234.537598,4439.357910,4439.357910,18704315119
2021-12-09,4462.635742,4475.966797,4083.298828,4170.652832,4170.652832,21503225856
